store_id,product_id,date,sales,is_special_day
1,1,2022-04-01,108,0
1,1,2022-04-02,121,1
1,1,2022-04-03,108,0
1,1,2022-04-04,114,0
1,1,2022-04-05,125,0
1,1,2022-04-06,121,0
1,1,2022-04-07,116,0
1,1,2022-04-08,112,0
1,1,2022-04-09,102,0
1,1,2022-04-10,111,0
1,1,2022-04-11,119,0
1,1,2022-04-12,126,0
1,1,2022-04-13,121,0
1,1,2022-04-14,119,0
1,1,2022-04-15,108,0
1,1,2022-04-16,107,0
1,1,2022-04-17,111,0
1,1,2022-04-18,117,0
1,1,2022-04-19,122,0
1,1,2022-04-20,123,0
1,1,2022-04-21,120,0
1,1,2022-04-22,106,0
1,1,2022-04-23,106,0
1,1,2022-04-24,103,0
1,1,2022-04-25,116,0
1,1,2022-04-26,121,0
1,1,2022-04-27,123,0
1,1,2022-04-28,116,0
1,1,2022-04-29,109,0
1,1,2022-04-30,106,0
1,1,2022-05-01,109,0
1,1,2022-05-02,115,0
1,1,2022-05-03,126,0
1,1,2022-05-04,131,0
1,1,2022-05-05,117,0
1,1,2022-05-06,109,0
1,1,2022-05-07,111,1
1,1,2022-05-08,110,0
1,1,2022-05-09,118,0
1,1,2022-05-10,119,0
1,1,2022-05-11,125,0
1,1,2022-05-12,122,0
1,1,2022-05-13,110,0
1,1,2022-05-14,106,0
1,1,2022-05-15,106,0
1,1,2022-05-16,110,0
1,1,2022-05-17,125,0
1,1,2022-05-18,127,0
1,1,2022-05-19,120,0
1,1,2022-05-20,106,0
1,1,2022-05-21,101,0
1,1,2022-05-22,102,0
1,1,2022-05-23,116,0
1,1,2022-05-24,125,0
1,1,2022-05-25,124,0
1,1,2022-05-26,121,0
1,1,2022-05-27,106,0
1,1,2022-05-28,104,0
1,1,2022-05-29,101,0
1,1,2022-05-30,111,0
1,1,2022-05-31,124,0
1,1,2022-06-01,122,0
1,1,2022-06-02,121,0
1,1,2022-06-03,111,0
1,1,2022-06-04,123,1
1,1,2022-06-05,106,0
1,1,2022-06-06,109,0
1,1,2022-06-07,121,0
1,1,2022-06-08,120,0
1,1,2022-06-09,120,0
1,1,2022-06-10,109,0
1,1,2022-06-11,103,0
1,1,2022-06-12,105,0
1,1,2022-06-13,115,0
1,1,2022-06-14,119,0
1,1,2022-06-15,125,0
1,1,2022-06-16,120,0
1,1,2022-06-17,108,0
1,1,2022-06-18,100,0
1,1,2022-06-19,104,0
1,1,2022-06-20,115,0
1,1,2022-06-21,121,0
1,1,2022-06-22,124,0
1,1,2022-06-23,122,0
1,1,2022-06-24,109,0
1,1,2022-06-25,101,0
1,1,2022-06-26,108,0
1,1,2022-06-27,113,0
1,1,2022-06-28,123,0
1,1,2022-06-29,126,0
1,1,2022-06-30,114,0
1,1,2022-07-01,112,0
1,1,2022-07-02,120,1
1,1,2022-07-03,103,0
1,1,2022-07-04,114,0
1,1,2022-07-05,121,0
1,1,2022-07-06,122,0
1,1,2022-07-07,120,0
1,1,2022-07-08,113,0
1,1,2022-07-09,103,0
1,1,2022-07-10,109,0
1,1,2022-07-11,115,0
1,1,2022-07-12,121,0
1,1,2022-07-13,123,0
1,1,2022-07-14,113,0
1,1,2022-07-15,104,0
1,1,2022-07-16,103,0
1,1,2022-07-17,102,0
1,1,2022-07-18,112,0
1,1,2022-07-19,119,0
1,1,2022-07-20,117,0
1,1,2022-07-21,118,0
1,1,2022-07-22,107,0
1,1,2022-07-23,103,0
1,1,2022-07-24,102,0
1,1,2022-07-25,111,0
1,1,2022-07-26,125,0
1,1,2022-07-27,122,0
1,1,2022-07-28,118,0
1,1,2022-07-29,104,0
1,1,2022-07-30,110,0
1,1,2022-07-31,110,0
1,1,2022-08-01,116,0
1,1,2022-08-02,122,0
1,1,2022-08-03,122,0
1,1,2022-08-04,118,0
1,1,2022-08-05,111,0
1,1,2022-08-06,118,1
1,1,2022-08-07,103,0
1,1,2022-08-08,107,0
1,1,2022-08-09,117,0
